Shipment_ID,Customer_ID,Origin_ServiceCenter_ID,Destination_ServiceCenter_ID,Driver_ID,Equipment_ID,Pickup_Date,Delivery_Date,Promised_Delivery_Date,Month,Quarter,Year,Service_Type,Origin_State_Full,Destination_State_Full,Weight_lbs,Pieces,Pallets,Freight_Class,Transit_Days_Actual,Transit_Days_Promised,On_Time,Base_Rate_USD,Fuel_Surcharge_USD,Accessorial_Charges_USD,Total_Revenue_USD,Total_Cost_USD,Gross_Margin_USD,Gross_Margin_Pct,Claim_Filed,Claim_Reason,Claim_Amount_USD,Miles,Revenue_Per_Hundredweight,Revenue_Per_Mile
PRO1000011,CUST0263,SC027,SC017,DRV0140,TRK0021,"Monday, February 13, 2023","Thursday, February 16, 2023","Thursday, February 16, 2023",February,1,2023,Retail,Missouri,Oklahoma,6442.9,2,1,175,3,3,TRUE,$827.80 ,$168.36 ,$0 ,$996.16 ,$655.20 ,$340.96 ,34.23,FALSE,No Claim,$0 ,1182,$15.46 ,1.01
PRO1000026,CUST0035,SC012,SC002,DRV0056,TRK0106,"Thursday, October 10, 2024","Sunday, October 13, 2024","Sunday, October 13, 2024",October,4,2024,Time-Critical,Tennessee,Ohio,447.6,1,1,125,3,3,TRUE,$82.84 ,$18.71 ,$0 ,$101.55 ,$80.68 ,$20.87 ,20.55,FALSE,No Claim,$0 ,1285,$22.69 ,0.05
PRO1000045,CUST0113,SC025,SC009,DRV0185,TRK0066,"Tuesday, February 20, 2024","Friday, February 23, 2024","Friday, February 23, 2024",February,1,2024,Time-Critical,Missouri,Utah,13245.9,7,1,60,3,3,TRUE,"$2,615.02 ",$657.88 ,$0 ,"$3,272.90 ","$2,712.22 ",$560.68 ,17.13,FALSE,No Claim,$0 ,2000,$24.71 ,5.91
PRO1000063,CUST0235,SC014,SC023,DRV0047,TRK0113,"Tuesday, July 11, 2023","Friday, July 14, 2023","Friday, July 14, 2023",July,3,2023,Time-Critical,Washington,Michigan,2982,4,1,100,3,3,TRUE,$978.03 ,$238.56 ,$0 ,"$1,216.60 ",$952.91 ,$263.69 ,21.67,FALSE,No Claim,$0 ,1499,$40.80 ,0.62
PRO1000165,CUST0126,SC021,SC029,DRV0075,TRK0034,"Monday, January 15, 2024","Thursday, January 18, 2024","Thursday, January 18, 2024",January,1,2024,Time-Critical,Ohio,Massachusetts,445.7,4,1,92.5,3,3,TRUE,$44.88 ,$8.65 ,$0 ,$53.52 ,$30.14 ,$23.38 ,43.68,FALSE,No Claim,$0 ,1679,$12.01 ,0.03
PRO1000236,CUST0206,SC025,SC024,DRV0141,TRK0105,"Monday, May 22, 2023","Thursday, May 25, 2023","Thursday, May 25, 2023",May,2,2023,Time-Critical,Oregon,Utah,18984.1,7,1,65,3,3,TRUE,"$3,547.22 ",$713.46 ,$0 ,"$4,260.68 ","$2,713.22 ","$1,547.46 ",36.32,FALSE,No Claim,$0 ,1491,$22.44 ,4.53
PRO1000253,CUST0119,SC025,SC004,DRV0055,TRK0079,"Thursday, February 23, 2023","Sunday, February 26, 2023","Sunday, February 26, 2023",February,1,2023,Retail,Illinois,Utah,8725.5,7,1,110,3,3,TRUE,"$2,877.93 ",$645.58 ,$0 ,"$3,523.51 ","$2,507.25 ","$1,016.26 ",28.84,FALSE,No Claim,$0 ,2105,$40.38 ,2.71
PRO1000370,CUST0290,SC017,SC003,DRV0043,TRK0064,"Thursday, August 24, 2023","Sunday, August 27, 2023","Sunday, August 27, 2023",August,3,2023,Retail,Texas,Missouri,11127.7,5,1,500,3,3,TRUE,"$1,329.21 ",$256.13 ,$0 ,"$1,585.34 ","$1,281.52 ",$303.82 ,19.16,FALSE,No Claim,$0 ,1743,$14.25 ,1.04
PRO1000384,CUST0293,SC001,SC013,DRV0089,TRK0093,"Sunday, December 17, 2023","Wednesday, December 20, 2023","Wednesday, December 20, 2023",December,4,2023,Retail,North Carolina,Arkansas,7682,2,1,300,3,3,TRUE,"$2,038.44 ",$481.75 ,$0 ,"$2,520.19 ","$1,435.02 ","$1,085.17 ",43.06,FALSE,No Claim,$0 ,1610,$32.81 ,18.95
PRO1000403,CUST0183,SC022,SC030,DRV0171,TRK0147,"Wednesday, August 23, 2023","Saturday, August 26, 2023","Saturday, August 26, 2023",August,3,2023,Flatbed,Pennsylvania,Florida,15902.7,4,1,70,3,3,TRUE,"$1,281.18 ",$253.36 ,$0 ,"$1,534.54 ","$1,296.86 ",$237.68 ,15.49,FALSE,No Claim,$0 ,408,$9.65 ,7.14
